DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 08:47:18 2020, 20.04,50.41,1006.74,21.69,6.5,80.8, 
Tue Apr 21 08:48:58 2020, 20.03,50.35,1006.72,21.57,6.5,72.53, 
Tue Apr 21 08:50:40 2020, 20.04,50.43,1006.7,21.73,6.5,39.2, 
Tue Apr 21 08:52:21 2020, 20.06,50.33,1006.74,21.52,6.5,0.68, 
Tue Apr 21 08:54:02 2020, 20.06,50.41,1006.72,21.68,6.5,94.92, 
Tue Apr 21 08:55:44 2020, 20.1,50.4,1006.84,21.66,6.5,6.45, 
Tue Apr 21 08:57:25 2020, 20.11,50.32,1006.82,21.49,6.5,90.19, 
Tue Apr 21 08:59:07 2020, 20.11,50.28,1006.82,21.41,6.5,94.71, 
Tue Apr 21 09:00:48 2020, 20.13,50.71,1006.78,22.31,6.5,14.33, 
Tue Apr 21 09:02:29 2020, 20.22,51.67,1006.82,24.31,6.5,57.05, 
Tue Apr 21 09:04:11 2020, 20.23,52.57,1006.78,26.19,6.5,59.04, 
Tue Apr 21 09:05:52 2020, 20.26,53.73,1006.82,28.6,6.5,104.28, 
Tue Apr 21 09:07:34 2020, 20.27,54.69,1006.84,30.6,6.5,8.17, 
Tue Apr 21 09:09:16 2020, 20.31,55.43,1006.84,32.15,6.5,14.43, 
Tue Apr 21 09:10:58 2020, 20.33,55.54,1006.89,32.37,6.5,11.38, 
Tue Apr 21 09:12:39 2020, 20.32,55.54,1006.86,32.38,6.5,87.33, 
Tue Apr 21 09:14:21 2020, 20.34,55.66,1006.91,32.62,6.5,92.42, 
Tue Apr 21 09:16:03 2020, 20.35,55.63,1006.89,32.55,6.5,94.43, 
Tue Apr 21 09:17:45 2020, 20.4,55.5,1006.95,32.29,6.5,75.43, 
Tue Apr 21 09:19:26 2020, 20.46,55.26,1006.91,31.8,6.5,12.22, 
Tue Apr 21 09:21:08 2020, 20.46,55.22,1006.93,31.71,6.5,24.09, 
Tue Apr 21 09:22:49 2020, 20.5,54.92,1006.97,31.08,6.5,125.87, 
Tue Apr 21 09:24:31 2020, 20.52,55.16,1006.91,31.58,6.5,33.24, 
Tue Apr 21 09:26:13 2020, 20.56,55.01,1006.86,31.28,6.5,15.21, 
Tue Apr 21 09:27:54 2020, 20.58,54.95,1006.86,31.15,6.5,12.74, 
Tue Apr 21 09:29:36 2020, 20.59,54.98,1006.86,31.22,6.5,79.13, 
Tue Apr 21 09:31:17 2020, 20.61,55.11,1006.88,31.47,6.5,115.64, 
Tue Apr 21 09:32:59 2020, 20.64,55.1,1006.88,31.47,6.5,91.92, 
Tue Apr 21 09:34:41 2020, 20.66,55.0,1006.86,31.25,6.5,68.87, 
Tue Apr 21 09:36:23 2020, 20.67,54.84,1006.84,30.91,6.5,65.94, 
Tue Apr 21 09:38:04 2020, 20.69,54.79,1006.84,30.81,6.5,129.38, 
Tue Apr 21 09:39:46 2020, 20.72,54.71,1006.82,30.65,6.5,34.4, 
Tue Apr 21 09:41:28 2020, 20.72,54.73,1006.8,30.69,6.5,77.48, 
Tue Apr 21 09:43:09 2020, 20.65,54.66,1006.82,30.55,6.5,89.02, 
Tue Apr 21 09:44:51 2020, 20.58,54.6,1006.78,30.42,6.5,58.88, 
Tue Apr 21 09:46:33 2020, 20.55,54.65,1006.78,30.51,6.5,87.55, 
Tue Apr 21 09:48:15 2020, 20.53,54.71,1006.84,30.65,6.5,77.64, 
Tue Apr 21 09:49:56 2020, 20.5,54.49,1006.82,30.18,6.5,37.78, 
