DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 09:38:55 2020, 15.83,53.51,1006.49,28.14,6.5,95.9, 
Tue Apr 21 09:40:37 2020, 15.84,52.83,1006.43,26.74,6.5,39.16, 
Tue Apr 21 09:42:18 2020, 15.87,52.75,1006.51,26.55,6.5,119.75, 
Tue Apr 21 09:44:00 2020, 15.9,52.88,1006.51,26.84,6.5,123.05, 
Tue Apr 21 09:45:42 2020, 15.89,52.76,1006.51,26.58,6.5,25.76, 
Tue Apr 21 09:47:23 2020, 15.88,52.67,1006.47,26.4,6.5,14.25, 
Tue Apr 21 09:49:05 2020, 15.84,52.74,1006.45,26.54,6.5,113.38, 
Tue Apr 21 09:50:46 2020, 15.94,53.04,1006.52,27.16,6.5,26.45, 
Tue Apr 21 09:52:28 2020, 16.15,53.66,1006.49,28.46,6.5,100.08, 
Tue Apr 21 09:54:10 2020, 16.17,53.62,1006.45,28.38,6.5,139.5, 
Tue Apr 21 09:55:51 2020, 16.11,53.25,1006.47,27.61,6.5,128.88, 
Tue Apr 21 09:57:33 2020, 16.06,53.25,1006.45,27.61,6.5,44.13, 
Tue Apr 21 09:59:15 2020, 16.01,53.3,1006.51,27.71,6.5,22.72, 
Tue Apr 21 10:00:56 2020, 16.03,53.44,1006.47,28.01,6.5,105.67, 
Tue Apr 21 10:02:38 2020, 16.08,53.24,1006.45,27.58,6.5,57.62, 
Tue Apr 21 10:04:20 2020, 16.05,53.31,1006.52,27.72,6.5,7.19, 
Tue Apr 21 10:06:01 2020, 16.09,53.28,1006.56,27.68,6.5,17.72, 
Tue Apr 21 10:07:43 2020, 16.14,53.15,1006.52,27.41,6.5,70.54, 
Tue Apr 21 10:09:25 2020, 16.27,53.67,1006.49,28.48,6.5,148.62, 
Tue Apr 21 10:11:07 2020, 16.39,53.32,1006.56,27.75,6.5,147.12, 
Tue Apr 21 10:12:48 2020, 16.48,53.22,1006.58,27.54,6.5,79.04, 
Tue Apr 21 10:14:30 2020, 16.51,53.06,1006.52,27.21,6.5,0.83, 
Tue Apr 21 10:16:11 2020, 16.56,53.08,1006.58,27.25,6.5,36.28, 
Tue Apr 21 10:17:53 2020, 16.66,53.04,1006.56,27.16,6.5,74.56, 
