DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust 
Tue Apr 21 11:22:39 2020, 12.45,62.58,1007.44,47.03,6.5,137.77, 
Tue Apr 21 11:24:21 2020, 12.8,62.64,1007.42,47.16,6.5,10.57, 
Tue Apr 21 11:26:03 2020, 12.35,62.12,1007.38,46.08,6.5,4.71, 
Tue Apr 21 11:27:44 2020, 12.17,62.08,1007.62,46.0,6.5,43.04, 
Tue Apr 21 11:29:26 2020, 12.29,62.7,1007.36,47.3,6.5,134.38, 
Tue Apr 21 11:31:08 2020, 12.32,62.3,1007.29,46.45,6.5,137.0, 
Tue Apr 21 11:32:49 2020, 12.14,62.1,1007.29,46.05,6.5,72.32, 
Tue Apr 21 11:34:31 2020, 12.42,63.06,1007.29,48.05,6.5,68.82, 
Tue Apr 21 11:36:13 2020, 12.57,62.35,1007.44,46.55,6.5,101.02, 
Tue Apr 21 11:37:54 2020, 12.15,62.21,1007.21,46.26,6.5,152.91, 
Tue Apr 21 11:39:36 2020, 12.4,61.28,1007.36,44.34,6.5,127.97, 
Tue Apr 21 11:41:17 2020, 12.27,62.08,1007.27,45.99,6.5,137.38, 
Tue Apr 21 11:42:59 2020, 12.43,62.81,1007.21,47.53,6.5,82.61, 
Tue Apr 21 11:44:41 2020, 12.42,62.1,1007.29,46.05,6.5,82.33, 
Tue Apr 21 11:46:22 2020, 12.43,61.72,1007.32,45.25,6.5,54.87, 
Tue Apr 21 11:48:04 2020, 12.34,62.24,1007.36,46.34,6.5,53.69, 
Tue Apr 21 11:49:46 2020, 12.73,62.57,1007.31,47.01,6.5,92.13, 
Tue Apr 21 11:51:27 2020, 12.47,62.21,1007.29,46.27,6.5,101.19, 
Tue Apr 21 11:53:09 2020, 12.65,62.17,1007.32,46.18,6.5,119.85, 
Tue Apr 21 11:54:51 2020, 12.2,62.56,1007.31,47.0,6.5,142.07, 
Tue Apr 21 11:56:33 2020, 12.53,63.24,1007.25,48.41,6.5,47.33, 
Tue Apr 21 11:58:14 2020, 12.59,61.95,1007.31,45.74,6.5,11.18, 
Tue Apr 21 11:59:55 2020, 12.29,62.39,1007.23,46.65,6.5,141.24, 
Tue Apr 21 12:01:37 2020, 12.48,62.65,1007.29,47.19,6.5,141.8, 
Tue Apr 21 12:03:19 2020, 12.56,62.48,1007.32,46.83,6.5,87.27, 
Tue Apr 21 12:05:00 2020, 12.83,62.17,1007.34,46.18,6.5,135.68, 
Tue Apr 21 12:06:42 2020, 12.41,62.56,1007.25,47.0,6.5,137.89, 
Tue Apr 21 12:08:24 2020, 12.56,62.17,1007.4,46.18,6.5,29.97, 
Tue Apr 21 12:10:05 2020, 12.57,62.06,1007.36,45.96,6.5,81.19, 
